s.no,address,cityname,state,country,price(in rupees)
83,,Arlington,VA,USA,72730
84,,Naples,FL,USA,71899
85,,Aurora,CO,USA,71068
86,145 S Grand St,Fort Lupton,CO,USA,70652
87,22nd Avenue North,Nashville,TN,USA,70652
88,,Saint Petersburg,FL,USA,70652
89,,Portland,OR,USA,70652
90,,Joppa,MD,USA,68574
91,,Broomfield,CO,USA,66496
92,,Potomac,MD,USA,66496
93,,Deltona,FL,USA,66496
94,,Lodi,CA,USA,66496
95,,Jacksonville,FL,USA,66496
96,,Parker,CO,USA,66080
97,,Fountain,CO,USA,65249
98,,Fort Collins,CO,USA,65249
99,,Loveland,CO,USA,63171
100,,Bear,DE,USA,62756
101,,Hummelstown,PA,USA,62756
102,,Riverside,CA,USA,62340
103,,Port Saint Lucie,FL,USA,62340
104,,Charlotte,NC,USA,62340
105,,Nashville,TN,USA,60262
106,,Hiram,GA,USA,60262
107,,Converse,TX,USA,59846
108,,Broomfield,CO,USA,58184
109,,Orlando,FL,USA,58184
110,,Centennial,CO,USA,58184
111,,Lakewood,CO,USA,58184
112,,Kyle,TX,USA,58184
113,,Summit,IL,USA,57768
114,,Columbia,SC,USA,56937
115,,Houston,TX,USA,56106
116,,Coon Rapids,MN,USA,56106
117,,Phoenix,AZ,USA,54859
118,,Salem,OR,USA,54028
119,,Chiefland,FL,USA,54028
120,,San Antonio,TX,USA,54028
121,,Phoenix,AZ,USA,50703
122,,Santa Cruz,CA,USA,49872
123,,Tampa,FL,USA,49872
124,101 Bridge St,Houghton,MI,USA,49872
125,,Raleigh,NC,USA,49872
126,,New Canton,VA,USA,49456
127,,Coatesville,PA,USA,47794
128,,Winter Springs,FL,USA,47794
129,,Clarksville,MD,USA,45716
130,,Paulden,AZ,USA,41560
131,,Mount Airy,MD,USA,16624
132,4528 44th Avenue SW,Seattle,WA,USA,110134
133,111-117 Lake St S,Kirkland,WA,USA,116368
134,1025 Post St,San Francisco,CA,USA,165824
135,404 Chamberlain Avenue,Madison,WI,USA,59015
136,,San Leandro,CA,USA,132992
137,621 Begonia Ave,Corona Del Mar,CA,USA,157928
138,,Los Angeles,CA,USA,125096
139,,Cincinnati,OH,USA,58600
140,337 E 4th Avenue,Anchorage,AK,USA,72314
141,4875 N Magnolia Avenue,Chicago,IL,USA,91016
142,1307 N Northgate Way,Seattle,WA,USA,112212
143,610 NW 17th Avenue,Portland,OR,USA,91349
144,7 S Linn St,Iowa City,IA,USA,70652
145,249-251 Emerson St,Palo Alto,CA,USA,182864
146,,Farmington,CT,USA,148369
147,,Gaithersburg,MD,USA,127506
148,420 Vine St,Seattle,WA,USA,99328
149,5860 N Kenmore Ave,Chicago,IL,USA,82704
150,,Long Beach,CA,USA,81042
151,5326 S Cornell Avenue,Chicago,IL,USA,75722
152,2907 West Avenue,Austin,TX,USA,74808
153,,Decatur,GA,USA,66496
154,,Denver,CO,USA,66080
155,,Sarasota,FL,USA,66080
156,928 N 15th St,Milwaukee,WI,USA,64418
157,5748 S Blackstone Avenue,Chicago,IL,USA,63171
158,,Tiverton,RI,USA,60262
159,,Stockbridge,GA,USA,58184
160,855 Chambers Road,Columbus,OH,USA,54028
161,125 N 1st St,Grand Junction,CO,USA,49456
162,,Raleigh,NC,USA,33248
163,221 W Wood St,West Lafayette,IN,USA,60262
164,7228 N Burlington Avenue,Portland,OR,USA,91349
165,709 Geary St,San Francisco,CA,USA,182448
166,1547 Clay St,San Francisco,CA,USA,224008
167,915 W 27th Ave,Anchorage,AK,USA,60678
168,1232 Man O War Place #2,Lexington,KY,USA,54776
169,707 South St,Lafayette,IN,USA,64418
170,5500 Friendship Boulevard #2206n,Chevy Chase,MD,USA,112212
171,2256 N Cleveland,Chicago,IL,USA,80211
172,,Lakewood,CO,USA,76886
173,735 W Wisconsin Avenue,Milwaukee,WI,USA,70236
174,409 W Wilson St,Madison,WI,USA,58184
175,211 Yacht Club Way,Redondo Beach,CA,USA,165824
176,4110 12th Avenue NE,Seattle,WA,USA,112212
177,61 E 21st St,Chicago,IL,USA,112129
178,644 W Surf,Chicago,IL,USA,76886
179,4721 29 South Ellis St,Chicago,IL,USA,74725
180,1458 East Main St,Bridgeport,CT,USA,58184
181,2836 Airport Hwy,Toledo,OH,USA,27014
182,108 N Salisbury St,West Lafayette,IN,USA,66413
183,634 Powell St,San Francisco,CA,USA,224008
184,691 O'Farrell St,San Francisco,CA,USA,190760
185,1251 S Bellaire St,Denver,CO,USA,89686
186,1211 East 5th St,Austin,TX,USA,115204
187,600 E 5th St,Des Moines,IA,USA,66496
188,449 O'Farrell St,San Francisco,CA,USA,182448
189,3575 N Oakland Avenue,Shorewood,WI,USA,91432
190,610 Horatio St,Tampa,FL,USA,91349
191,1521 Reagan Hill Dr,Austin,TX,USA,67244
192,685 Geary St,San Francisco,CA,USA,190760
193,528 State St,Madison,WI,USA,65249
194,400 S Grant St,West Lafayette,IN,USA,59846
195,814 California St,San Francisco,CA,USA,199072
196,705 N 5th St,Lafayette,IN,USA,39898
197,1516 NW 51st St,Seattle,WA,USA,137564
198,3717-21 Westminster Place Westminster Place,Saint Louis,MO,USA,49872
199,434 Leavenworth St,San Francisco,CA,USA,182448
200,4201 Mass Avenue NW,Washington,DC,USA,128836
201,4226 W Adams Boulevard,Los Angeles,CA,USA,116368
202,1385 NW 22nd Avenue,Portland,OR,USA,107973
203,1718 Summit Avenue,Seattle,WA,USA,107973
204,4311 Spruce St,Philadelphia,PA,USA,95172
205,4750 N Clarendon Avenue,Chicago,IL,USA,78133
206,306 W 38th St,Austin,TX,USA,72730
207,7220 E McKellips Road,Scottsdale,AZ,USA,70569
208,6341 S Western Avenue,Chicago,IL,USA,66496
209,328 W 8th Ave,Spokane,WA,USA,59015
210,14001 Bedford Road NE,Cumberland,MD,USA,58101
211,810 E 42nd Avenue,Anchorage,AK,USA,57768
212,122-126 East Genesee St,Syracuse,NY,USA,49872
213,3020 S Sixth Avenue,Tucson,AZ,USA,49207
214,1630 E 6th St,Austin,TX,USA,103568
215,845 N Harvard Boulevard,Los Angeles,CA,USA,116368
216,509 W Main,Urbana,IL,USA,48625
217,60 S Munn Avenue,East Orange,NJ,USA,101822
218,155 Liberty St NE,Salem,OR,USA,72730
219,1919 Burton Drive,Austin,TX,USA,70652
220,511 W Doty St,Madison,WI,USA,55690
221,103 E Chalmers,Champaign,IL,USA,53114
222,2613 E Archer St,Tulsa,OK,USA,41144
223,6012 N Kenmore,Chicago,IL,USA,87276
224,4548 Ave A,Austin,TX,USA,78964
225,1415 SE Pardee St,Portland,OR,USA,99744
226,5300 5308 S Hyde Park Blvd,Chicago,IL,USA,81873
227,1199 Whitney Ave,Hamden,CT,USA,80211
228,2302 E Denny Way,Seattle,WA,USA,127174
229,32 Union St,New Brunswick,NJ,USA,101822
230,1431 SW Park Avenue,Portland,OR,USA,85198
231,2501 Pico Boulevard,Santa Monica,CA,USA,164162
232,1830 Underpass St 1-41,San Diego,CA,USA,126758
233,3220 Duval Road,Austin,TX,USA,78133
234,6060 N 7th St,Phoenix,AZ,USA,68906
235,230 S Grant St,West Lafayette,IN,USA,66413
236,1405 5th St SE,Minneapolis,MN,USA,64252
237,2504 Manor,Austin,TX,USA,77218
238,1520 Gough St,San Francisco,CA,USA,240632
239,2079 Market St,San Francisco,CA,USA,224008
240,942 Beech St,San Diego,CA,USA,116368
241,124 E 3rd Avenue,Anchorage,AK,USA,79380
242,795 Pine St,San Francisco,CA,USA,240632
243,33 8th St,San Francisco,CA,USA,238887
244,4726 4740 South Woodlawn Avenue,Chicago,IL,USA,74974
245,1126 Bush St,San Francisco,CA,USA,199072
246,8216 N Chautauqua Boulevard,Portland,OR,USA,103900
247,325 Pearl St,West Lafayette,IN,USA,58101
248,704 Stoughton,Urbana,IL,USA,53197
249,2400 Pennsylvania Avenue NW,Washington,DC,USA,137480
250,2700 Manor,Austin,TX,USA,76387
251,542 N Alexandria,Los Angeles,CA,USA,112212
252,5301 5309 South Ellis St,Chicago,IL,USA,86860
253,3517 North Hills Drive,Austin,TX,USA,81125
254,2110 Bill McDonald Parkway Suite 1,Bellingham,WA,USA,63337
255,1901 Mariposa Drive,Austin,TX,USA,87276
256,676 Geary St,San Francisco,CA,USA,207384
257,5242 S Hyde Park Boulevard,Chicago,IL,USA,97500
258,,Austin,TX,USA,83120
259,7227 E Highway 290,Austin,TX,USA,72730
260,1846 9th St Unit 4,Santa Monica,CA,USA,203644
261,,Auburn,WA,USA,135070
262,4217 Oliver Court,San Diego,CA,USA,120524
263,,San Rafael,CA,USA,117615
264,,Aurora,CO,USA,116368
265,728 S Main St,Ann Arbor,MI,USA,115952
266,3675-3773 King St,La Mesa,CA,USA,114290
267,,Bellflower,CA,USA,112628
268,42nd St N.E,Washington,DC,USA,111796
269,,Somerville,MA,USA,103900
270,,San Jose,CA,USA,100991
271,8101-B Greenspring Way,Owings Mills,MD,USA,95588
272,,Arvada,CO,USA,91432
273,700 Hearn St,Austin,TX,USA,91016
274,2207 South 5th St,Austin,TX,USA,90185
275,1608 W Sherwin Ave,Chicago,IL,USA,87276
276,15400 East Evans Ave,Aurora,CO,USA,84117
277,,Tacoma,WA,USA,83120
278,620 16th St East #1-5,Minneapolis,MN,USA,82704
279,1020 E 45th St,Austin,TX,USA,81042
280,1814 Waterston Ave,Austin,TX,USA,81042
281,,Pembroke Pines,FL,USA,81042
282,,Clayton,NC,USA,78964
283,817 12th Avenue SE,Minneapolis,MN,USA,78548
284,2104 San Gabriel St,Austin,TX,USA,76886
285,,Roswell,GA,USA,76886
286,,Newmarket,NH,USA,76886
287,,Saint Louis Park,MN,USA,76387
288,,Boulder,CO,USA,75639
289,2601 Penny Ln,Austin,TX,USA,74808
290,,Manassas,VA,USA,74808
291,2919 West Avenue,Austin,TX,USA,74392
292,6811 Great Northern,Austin,TX,USA,74392
293,3408 Speedway,Austin,TX,USA,74392
294,910 West 26th St,Austin,TX,USA,74392
295,,Thornton,CO,USA,72730
296,1300 Parker Lane,Austin,TX,USA,72730
297,,Gresham,OR,USA,72730
298,,West Hartford,CT,USA,71899
299,2005 Willow Creek,Austin,TX,USA,71234
300,802 Stanford,Houston,TX,USA,70652
301,,,,USA,70652
302,,Houston,TX,USA,70652
303,,Fort Lupton,CO,USA,70236
304,,Aurora,CO,USA,66496
305,455 N Grant St,West Lafayette,IN,USA,66413
306,407 11th Avenue SW,Forest Lake,MN,USA,59846
307,,Longmont,CO,USA,58184
308,,Denver,CO,USA,58184
309,1200 W 16th St,Cameron,TX,USA,57768
310,SW 78 Th CT Miami,Miami,FL,USA,57353
311,508 E Cottage Grove Avenue 515 E 10th St,Bloomington,IN,USA,54859
312,1136 South 29th St,Omaha,NE,USA,51119
313,,Denver,CO,USA,49872
314,18 S 4th St,Lafayette,IN,USA,49789
315,,Denver,CO,USA,39482
316,4151-4201 Logangate Rd,Youngstown,OH,USA,36157
317,505 4th St SW,Minot,ND,USA,35326
318,301 W 39th St,Austin,TX,USA,81042
319,250 Kendall St,Cambridge,MA,USA,204475
320,5555 East 14th St,Tucson,AZ,USA,52781
321,136  138 Highland Ave,Somerville,MA,USA,164162
322,1640 North Water St,Milwaukee,WI,USA,90185
323,1408 Armacost Ave.,Los Angeles,CA,USA,137148
324,209 East University Ave,Champaign,IL,USA,85198
325,324 Larkin St,San Francisco,CA,USA,207384
326,6 Sicard St,New Brunswick,NJ,USA,101822
327,21428 International Blvd,Seatac,WA,USA,112212
328,773 NW 13th St Suite 550,Gresham,OR,USA,78964
329,9190 Richmond Hwy,Fort Belvoir,VA,USA,120524
330,5525 Ellsworth Ave,Pittsburgh,PA,USA,78964
331,1106 Reinli St,Austin,TX,USA,76886
332,2800 Rio Grande St,Austin,TX,USA,76886
333,1308 McKie Dr,Austin,TX,USA,71400
334,4815 Todd,Ames,IA,USA,49456
335,4901 Todd,Ames,IA,USA,49456
336,4320 Canyon Dr,Amarillo,TX,USA,46547
337,,Niles,OH,USA,34910
338,5415 S Woodlawn Avenue,Chicago,IL,USA,86362
339,1525 N Webster St,Portland,OR,USA,108056
340,4400 Ave B,Austin,TX,USA,74392
341,441 W 3rd St,San Pedro,CA,USA,120524
342,1222 Locust St,Philadelphia,PA,USA,108056
343,5043 S Drexel Avenue,Chicago,IL,USA,84367
344,6309 Burns St,Austin,TX,USA,83037
345,1931 15th Ave South,Birmingham,AL,USA,58101
346,1927 15th Ave South,Birmingham,AL,USA,58101
347,2238 Hyde St,San Francisco,CA,USA,332480
348,120 S 5th St,Nashville,TN,USA,107557
349,3435 Main St,Kansas City,MO,USA,72730
350,345 Fulton St,San Francisco,CA,USA,240632
351,6565 Fountain Ave,Los Angeles,CA,USA,174552
352,1521 Sherwin W Ave,Chicago,IL,USA,103900
353,4435 N Greenview Avenue,Chicago,IL,USA,87276
354,433 Delmar Terrace,Saint Petersburg,FL,USA,83037
355,3600 Greystone,Austin,TX,USA,76470
356,1005 W Stassney Lane,Austin,TX,USA,76470
357,320 Alabama St,Lafayette,LA,USA,60262
358,112 W Wood St,West Lafayette,IN,USA,58101
359,101 W Olympic Place,Seattle,WA,USA,107640
360,7630 Wood Hollow Drive,Austin,TX,USA,72314
361,4318 Vance Drive,Anchorage,AK,USA,73561
362,12821 126th Way Northeast,Kirkland,WA,USA,116784
363,3508 S First,Austin,TX,USA,116285
364,520 S Mariposa Avenue,Los Angeles,CA,USA,112212
365,1553 'A St,Anchorage,AK,USA,97250
366,4000 Ave A,Austin,TX,USA,75224
367,1413 Clearfield,Austin,TX,USA,66496
368,1809 W Rundberg Ln,Austin,TX,USA,66413
369,31-35 South St,Boston,MA,USA,171227
370,35 N 6th Ave,Tucson,AZ,USA,74725
371,5528 32 S Cornell Avenue,Chicago,IL,USA,67660
372,22 SE 11th Avenue,Portland,OR,USA,99328
373,145 W McMillan,Cincinnati,OH,USA,65249
374,101 Andrew Place,West Lafayette,IN,USA,58101
375,701 Taylor St,San Francisco,CA,USA,224008
376,4520 N Clarendon Ave,Chicago,IL,USA,110134
377,503 State St,Madison,WI,USA,93510
378,2123 Shady Avenue,Pittsburgh,PA,USA,74392
379,5800 Wellington Drive,Austin,TX,USA,66496
380,815 18th St S,Arlington,VA,USA,128753
381,1367 41st Avenue,San Francisco,CA,USA,124680
382,655 Powell St,San Francisco,CA,USA,257256
383,1188 Mission St,San Francisco,CA,USA,208548
384,7920 San Felipe Boulevard,Austin,TX,USA,73977
385,775 Melrose St,Memphis,TN,USA,74725
386,1614 E 6th St,Austin,TX,USA,136732
387,2101 Elmont Drive,Austin,TX,USA,85281
388,8250 SW 72nd CT,Miami,FL,USA,135486
389,7428 N Charleston Avenue,Portland,OR,USA,103900
390,2501 Washington Ave,Philadelphia,PA,USA,95588
391,901  903 Springdale Road,Austin,TX,USA,74392
392,1801 Gough St,San Francisco,CA,USA,248944
393,5606 N Lamar,Austin,TX,USA,74725
394,600 Georgia Avenue,Chattanooga,TN,USA,69405
395,6654 Winkle Court,San Antonio,TX,USA,61509
396,1465 Alvarado Dr,Colorado Springs,CO,USA,52781
397,840 California St,San Francisco,CA,USA,232320
398,574 3rd St,San Francisco,CA,USA,190760
399,1640-1650 SE Tacoma St,Portland,OR,USA,105562
400,177 SE 5th Avenue,Hillsboro,OR,USA,99328
401,12330 Metric Boulevard,Austin,TX,USA,69571
402,5215 Mockingbird Drive,Anchorage,AK,USA,68990
403,,Somerville,MA,USA,194584
404,40 North Kingshighway Boulevard,Saint Louis,MO,USA,91349
405,320 Turk St,San Francisco,CA,USA,182448
406,10215 Greenwood Avenue N,Seattle,WA,USA,110965
407,302 Apple Creek Dr,Georgetown,TX,USA,74392
408,105 S Wright,Champaign,IL,USA,64418
409,11515 Leisure Drive,Dallas,TX,USA,56106
410,2973 Folsom St,San Francisco,CA,USA,207800
411,1212 Griswold St,Detroit,MI,USA,78964
412,920 Arcturus Dr,Colorado Springs,CO,USA,68158
413,540 Sausalito,Sausalito,CA,USA,249360
414,853 Park Ave,Baltimore,MD,USA,162084
415,,Long Beach,CA,USA,149200
416,810-818 E 23rd St,Oakland,CA,USA,145460
417,,Washington,DC,USA,127589
418,908 S Hobart Boulevard,Los Angeles,CA,USA,124264
419,3817 Dawson St,Pittsburgh,PA,USA,122602
420,1005 Maiden Ln,Ann Arbor,MI,USA,99661
421,145 Bloomington Avenue,Bremerton,WA,USA,99328
422,Uptown Square Apartments 2908 Bryant Avenue S,Minneapolis,MN,USA,88855
423,11301 Farrah Ln,Austin,TX,USA,86528
424,2221 NW Flanders St,Portland,OR,USA,83120
425,1000 Van Dyke St,Detroit,MI,USA,82704
426,1907 San Gabriel #103,Austin,TX,USA,74808
427,1704 Nelms Dr,Austin,TX,USA,74559
428,2421 Bentzen Cir,Anchorage,AK,USA,71483
429,102 W Wood St,West Lafayette,IN,USA,66413
430,3425 Locust St,Kansas City,MO,USA,64002
431,3421 Locust St,Kansas City,MO,USA,63670
432,,Dallas,TX,USA,59763
433,3635 South Shaver St,Pasadena,TX,USA,57103
434,1154 Kaighn Avenue,Camden,NJ,USA,56106
435,6434 Paseo,Kansas City,MO,USA,54028
436,212 E White,Champaign,IL,USA,49872
437,2029 Swift St,North Kansas City,MO,USA,49456
438,1223 N 12th,Manhattan,KS,USA,47794
439,516 South Rawlings St,Carbondale,IL,USA,41560
440,1031 N Sumner St,Pampa,TX,USA,39482
441,701 W Longspur Boulevard,Austin,TX,USA,66912
442,925 25th St NW,Washington,DC,USA,149284
443,300 E Riverside Drive,Austin,TX,USA,143133
444,50 Laguna St,San Francisco,CA,USA,298816
445,199 South Allen St,Albany,NY,USA,78964
446,1415 North Country Club Dr,Mesa,AZ,USA,68574
447,9766  9846 Rosehill Rd,Berrien Springs,MI,USA,45716
448,784 Geary St,San Francisco,CA,USA,199072
449,555 S Ohio Avenue,Mercedes,TX,USA,40313
450,1840 N Farwell,Milwaukee,WI,USA,95588
451,14100 Thermal Drive,Austin,TX,USA,69821
452,3531 E 42nd Avenue,Anchorage,AK,USA,67743
453,52 E Armory,Champaign,IL,USA,58932
454,180 South Washington St,Wilkes Barre,PA,USA,58600
455,505 525 605  705 Park St,Minot,ND,USA,43638
456,460 E 400 S,Salt Lake City,UT,USA,103484
457,1700 W Prince Rd,Tucson,AZ,USA,49872
458,9218 Balcones Club Drive,Austin,TX,USA,73977
459,2530 Marina Dr,,,USA,58600
460,4570 S Cobb Dr,Smyrna,GA,USA,77385
461,2515 Burnet Avenue,Cincinnati,OH,USA,69821
462,6565 W Bethany Home Road,Glendale,AZ,USA,57768
463,1405 Franklin St,San Francisco,CA,USA,257256
464,2428 Delaware St SE,Minneapolis,MN,USA,110550
465,10801 Ih 35,Austin,TX,USA,91432
466,3618 Farnam St,Omaha,NE,USA,73561
467,57 E Chalmers,Champaign,IL,USA,62257
468,702 W Western,Urbana,IL,USA,51950
469,2801 College Avenue,Berkeley,CA,USA,165824
470,161 W Kinzie St,Chicago,IL,USA,145876
471,200 Rhode Island Ave NE,Washington,DC,USA,130498
472,317 Vine St,West Lafayette,IN,USA,86445
473,4451 59 S Greenwood Avenue,Chicago,IL,USA,83868
474,5640 Lake Otis Parkway,Anchorage,AK,USA,66496
475,1260 Broadway St,San Francisco,CA,USA,265568
476,,Chicago,IL,USA,124680
477,845 California St,San Francisco,CA,USA,274296
478,2645 Railroad St,Pittsburgh,PA,USA,96835
479,520 Buchanan St,San Francisco,CA,USA,282192
480,13300 North 88th Avenue,Peoria,AZ,USA,79795
481,,Oakland,CA,USA,135070
482,667 McVey Avenue,Lake Oswego,OR,USA,95588
483,1405 SW Park Avenue,Portland,OR,USA,93510
484,1333 Northeast 5th Terrace,Fort Lauderdale,FL,USA,91016
485,1414 Euclid Avenue,Atlanta,GA,USA,87276
486,14201 N Ih 35,Pflugerville,TX,USA,77551
487,14233 The Lakes Boulevard,Pflugerville,TX,USA,74891
488,,Bradenton,FL,USA,70403
489,2305 Hayes Road,Houston,TX,USA,53612
490,110 Jacob Fontaine Lane,Austin,TX,USA,99744
491,5656 Live Oak,Dallas,TX,USA,70236
492,455 Hyde,San Francisco,CA,USA,257256
493,199 Wind Road,Greensboro,NC,USA,44469
494,,Bethesda,MD,USA,141969
495,8130 SE 6th Ave,Portland,OR,USA,107640
496,8912 North Lamar,Austin,TX,USA,68906
497,5759 Pineland Drive,Dallas,TX,USA,57103
498,318-408 17th St NW,East Grand Forks,MN,USA,41144
499,,Washington,DC,USA,145211
500,1500 E Riverside Drive,Austin,TX,USA,91598
501,8639 Fairhaven St,San Antonio,TX,USA,80543
502,2524 W Glenrosa Drive,Phoenix,AZ,USA,59015
503,404 E Clark,Champaign,IL,USA,57270
504,2211 Eastlawn Dr,Midland,MI,USA,47794
505,4911 Manchaca Rd,Austin,TX,USA,84284
506,1016 Stassney Ln,Austin,TX,USA,82289
507,7117 Wood Hollow Drive,Austin,TX,USA,76637
508,11511 Metric Boulevard,Austin,TX,USA,70236
509,2201 N St NW,Washington,DC,USA,160089
510,5807 Laurel Canyon Boulevard,Valley Village,CA,USA,132576
511,7725 W McDowell Road,Phoenix,AZ,USA,72730
512,2828 Euclid Ave,Cleveland,OH,USA,81042
513,9024 Northgate Boulevard,Austin,TX,USA,79380
514,8701 Parmer,Austin,TX,USA,73977
515,1913 Anderson Ave,Manhattan,KS,USA,37404
516,3659-3677 20th St,San Francisco,CA,USA,349104
517,5300 S Drexel Boulevard,Chicago,IL,USA,101406
518,2675 SE 162nd Avenue,Portland,OR,USA,74392
519,,Denver,CO,USA,124597
520,1120 1126 East 47th St,Chicago,IL,USA,90850
521,2440 Kuhio Ave. 1010,Honolulu,HI,USA,149533
522,,Washington,DC,USA,133823
523,,Washington,DC,USA,130498
524,2821 Carlisle St,Dallas,TX,USA,88190
525,1717 E Birch St,Brea,CA,USA,130914
526,1616 156th Ave Northeast,Bellevue,WA,USA,125096
527,917 N Hudson Avenue,Los Angeles,CA,USA,124680
528,406 W Main St,Medford,OR,USA,99661
529,2747 20th Place,Forest Grove,OR,USA,93926
530,507 S Fourth,Champaign,IL,USA,65665
531,,Hasbrouck Heights,NJ,USA,113459
532,7400 SE Milwaukie Ave,Portland,OR,USA,100991
533,2015 Cedar Bend,Austin,TX,USA,76387
534,,Austin,TX,USA,72231
535,607 E 2nd Avenue,Flint,MI,USA,72314
536,2008 2010 E Fourth Plain Boulevard,Vancouver,WA,USA,82704
537,267-273 Green St,San Francisco,CA,USA,299232
538,14508 Owen Tech Boulevard,Austin,TX,USA,121937
539,152 E Pecan St,San Antonio,TX,USA,81458
540,12001 Metric Boulevard,Austin,TX,USA,77218
541,,Austin,TX,USA,66496
542,3183 Wilshire Boulevard,Los Angeles,CA,USA,147621
543,11119 Alterra Dr,Austin,TX,USA,110134
544,3535 Grand Ave South,Minneapolis,MN,USA,107640
545,1925 E 7th St,Charlotte,NC,USA,98747
546,8225 Fm 620 North,Austin,TX,USA,88523
547,341 Alcatraz Ave 01-04,Oakland,CA,USA,187020
548,1200 Esplanade,Redondo Beach,CA,USA,165824
549,350-370 Chinquapin Ave,Carlsbad,CA,USA,149200
550,,Washington,DC,USA,141304
551,70 Harlan St,San Leandro,CA,USA,140888
552,,Ridgewood,NY,USA,132992
553,1308 S DE Soto Avenue,Tampa,FL,USA,132909
554,3952 Iowa St,San Diego,CA,USA,132909
555,2540 Country Hills Rd,Brea,CA,USA,132576
556,650 Tamarack Ave,Brea,CA,USA,131745
557,522 Pepper Drive,El Cajon,CA,USA,124264
558,12101 Pine Forest Cir,Fairfax,VA,USA,117199
559,2339 N Geneva,Chicago,IL,USA,115952
560,16661 E McFadden Avenue,Tustin,CA,USA,112212
561,4711 E Riverside Dr,Austin,TX,USA,111796
562,,Kent,WA,USA,110217
563,1413 San Bernardino,Upland,CA,USA,108472
564,2525 Ashland St Ashland,Ashland,OR,USA,108056
565,,Takoma Park,MD,USA,103900
566,35e  7th St W,Saint Paul,MN,USA,103734
567,"75,79  83 South Rd",Londonderry,NH,USA,103484
568,3220-3224 W St,Sacramento,CA,USA,99328
569,11 N Spooner St,Madison,WI,USA,95172
570,5012 NE Cleveland Avenue/57 NE Alberta St,Portland,OR,USA,87276
571,1964 South 900 East,Salt Lake City,UT,USA,82704
572,8515 S Ih-35,Austin,TX,USA,82206
573,121 Craddock Avenue,San Marcos,TX,USA,78964
574,502 W Longspur Boulevard,Austin,TX,USA,78465
575,425 E 200 S,Salt Lake City,UT,USA,76886
576,,Pittsburgh,PA,USA,76470
