s.no,latitude,longitude,amenities
260,34.0231,-118.4811,"Dishwasher,Refrigerator"
261,47.3002,-122.2168,
262,32.7876,-117.1265,
263,37.9917,-122.5247,
264,39.6828,-104.8078,
265,42.2711,-83.745,"Parking,Patio/Deck"
266,32.7685,-117.0046,
267,33.8897,-118.1257,
268,38.9118,-77.0132,
269,42.3895,-71.1039,
270,37.3108,-121.8645,
271,39.4276,-76.7727,
272,39.8228,-105.1107,
273,30.3054,-97.7497,"Dishwasher,Parking,Pool"
274,30.3054,-97.7497,
275,41.8625,-87.6825,
276,39.6828,-104.8078,
277,47.2154,-122.4608,
278,44.9855,-93.3023,
279,30.3043,-97.7169,
280,30.3054,-97.7497,
281,26.0066,-80.2959,
282,35.6101,-78.4715,
283,44.9855,-93.3023,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
284,30.3054,-97.7497,
285,34.0364,-84.3473,
286,43.0758,-70.9427,"Parking,Washer Dryer"
287,44.9368,-93.3605,
288,40.0213,-105.2552,
289,30.3054,-97.7497,
290,38.7418,-77.4684,
291,30.3054,-97.7497,
292,30.3054,-97.7497,
293,30.3054,-97.7497,
294,30.3054,-97.7497,
295,39.8895,-104.9641,
296,30.3054,-97.7497,
297,45.4913,-122.4185,
298,41.7609,-72.7477,
299,30.3054,-97.7497,
300,29.7714,-95.4343,
301,,,
302,29.7714,-95.4343,
303,40.0994,-104.8079,
304,39.6828,-104.8078,
305,40.4969,-86.9659,"Cable or Satellite,Internet Access,Parking,Refrigerator"
306,45.2764,-92.9901,
307,40.162,-105.1342,
308,39.736,-104.9819,
309,30.8542,-96.9773,"Dishwasher,Internet Access,Parking,Refrigerator"
310,25.7603,-80.3005,
311,39.1471,-86.5136,
312,41.2562,-96.0404,
313,39.736,-104.9819,
314,40.3613,-86.9005,"Dishwasher,Parking,Refrigerator"
315,39.736,-104.9819,
316,41.0767,-80.674,
317,48.2469,-101.3017,
318,30.3054,-97.7497,"Dishwasher,Parking,Pool"
319,42.3635,-71.0825,
320,32.2264,-110.9438,"Parking,Pool"
321,42.3895,-71.1039,Refrigerator
322,43.0531,-87.9659,
323,34.0372,-118.2972,
324,40.1145,-88.2723,"Dishwasher,Internet Access,Parking,Refrigerator"
325,37.7599,-122.4379,"Dishwasher,Refrigerator"
326,40.4841,-74.4526,
327,47.4826,-122.3023,
328,45.4913,-122.4185,
329,38.7128,-77.1561,"Parking,Pool"
330,40.4448,-79.9725,"Parking,Refrigerator"
331,30.3054,-97.7497,
332,30.3054,-97.7497,
333,30.3054,-97.7497,
334,42.0259,-93.6516,
335,42.0259,-93.6516,
336,35.1872,-101.8587,
337,41.2358,-80.7613,Parking
338,41.8625,-87.6825,
339,45.5091,-122.6449,
340,30.3054,-97.7497,
341,33.7489,-118.2867,
342,40.0054,-75.1415,
343,41.8625,-87.6825,Dishwasher
344,30.3054,-97.7497,
345,33.5137,-86.7893,"Dishwasher,Parking,Refrigerator"
346,33.5137,-86.7893,"Parking,Refrigerator"
347,37.7599,-122.4379,Refrigerator
348,36.137,-86.783,"Patio/Deck,Pool"
349,39.0744,-94.5521,"Parking,Storage"
350,37.7599,-122.4379,"Dishwasher,Refrigerator"
351,34.0372,-118.2972,
352,41.8625,-87.6825,
353,41.8625,-87.6825,
354,27.7873,-82.6772,
355,30.3054,-97.7497,
356,30.3054,-97.7497,
357,30.2091,-92.0348,"Parking,Refrigerator"
358,40.4969,-86.9659,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator"
359,47.616,-122.3275,
360,30.3054,-97.7497,
361,61.1723,-149.8414,Dishwasher
362,47.7046,-122.1989,Patio/Deck
363,30.3054,-97.7497,
364,34.0372,-118.2972,
365,61.1723,-149.8414,Dishwasher
366,30.3054,-97.7497,
367,30.3054,-97.7497,
368,30.3054,-97.7497,
369,42.328,-71.071,"Parking,Refrigerator"
370,32.2264,-110.9438,
371,41.8625,-87.6825,
372,45.5091,-122.6449,
373,39.1679,-84.4933,"Dishwasher,Parking,Refrigerator"
374,40.4969,-86.9659,Parking
375,37.7599,-122.4379,"Dishwasher,Refrigerator"
376,41.9643,-87.6502,
377,43.0724,-89.4003,Parking
378,40.4448,-79.9725,
379,30.3054,-97.7497,"Dishwasher,Parking,Pool"
380,38.8738,-77.1055,"Dishwasher,Refrigerator"
381,37.7599,-122.4379,
382,37.7599,-122.4379,"Dishwasher,Refrigerator"
383,37.7599,-122.4379,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
384,30.3054,-97.7497,"Dishwasher,Parking,Pool"
385,35.1211,-89.9517,
386,30.3054,-97.7497,"Dishwasher,Parking,Pool"
387,30.3054,-97.7497,"Dishwasher,Parking,Pool"
388,25.7603,-80.3005,
389,45.5091,-122.6449,
390,40.0054,-75.1415,
391,30.3054,-97.7497,
392,37.7599,-122.4379,Refrigerator
393,30.3054,-97.7497,
394,35.0462,-85.2352,
395,29.4624,-98.5253,"Parking,Refrigerator"
396,38.8562,-104.772,
397,37.7599,-122.4379,"Dishwasher,Refrigerator"
398,37.7599,-122.4379,
399,45.5091,-122.6449,
400,45.5223,-122.9416,
401,30.3054,-97.7497,"Dishwasher,Parking,Pool"
402,61.1723,-149.8414,Dishwasher
403,42.3895,-71.1039,
404,38.6274,-90.304,Parking
405,37.7599,-122.4379,Refrigerator
406,47.616,-122.3275,
407,30.6505,-97.6809,"Dishwasher,Parking,Pool"
408,40.1145,-88.2723,"Dishwasher,Parking,Patio/Deck"
409,32.8212,-96.7853,
410,37.7599,-122.4379,
411,42.3882,-83.1122,
412,38.8094,-104.8448,"Parking,Pool"
413,37.8651,-122.531,
414,39.3191,-76.6126,"Cable or Satellite,Internet Access,Parking,Refrigerator"
415,33.7834,-118.1506,Parking
416,37.7904,-122.2151,
417,38.9118,-77.0132,
418,34.0372,-118.2972,
419,40.4448,-79.9725,
420,42.2711,-83.745,"Dishwasher,Parking,Refrigerator"
421,47.5968,-122.7026,
422,44.9855,-93.3023,
423,30.3054,-97.7497,
424,45.5091,-122.6449,
425,42.3882,-83.1122,
426,30.3054,-97.7497,
427,30.3054,-97.7497,"Dishwasher,Parking,Pool"
428,61.1738,-149.9301,Dishwasher
429,40.4969,-86.9659,"Dishwasher,Garbage Disposal,Parking,Patio/Deck,Refrigerator"
430,39.0744,-94.5521,"Parking,Storage"
431,39.0744,-94.5521,Parking
432,32.878,-96.7511,"Gym,Parking,Pool"
433,29.6803,-95.1845,
434,39.9382,-75.1008,Refrigerator
435,39.0744,-94.5521,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
436,40.1145,-88.2723,
437,39.1478,-94.5689,"Parking,Refrigerator"
438,39.1984,-96.6052,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
439,37.7262,-89.2229,
440,35.5427,-100.9644,Refrigerator
441,30.3054,-97.7497,
442,38.9118,-77.0132,
443,30.3054,-97.7497,
444,37.7599,-122.4379,"Dishwasher,Refrigerator"
445,42.6742,-73.7936,
446,33.4146,-111.766,"Parking,Pool"
447,41.9419,-86.3526,
448,37.7599,-122.4379,Refrigerator
449,26.1605,-97.9198,"Parking,Refrigerator"
450,43.0531,-87.9659,
451,30.3054,-97.7497,
452,61.1723,-149.8414,Dishwasher
453,40.1145,-88.2723,"Dishwasher,Parking,Patio/Deck"
454,41.2399,-75.8848,
455,48.2469,-101.3017,
456,40.7061,-111.9048,Parking
457,32.2264,-110.9438,"Dishwasher,Parking,Pool"
458,30.3054,-97.7497,"Dishwasher,Parking,Pool"
459,39.8163,-98.5576,
460,33.8694,-84.5196,
461,39.1679,-84.4933,
462,33.5944,-112.1837,
463,37.7599,-122.4379,"Dishwasher,Parking,Refrigerator"
464,44.9855,-93.3023,
465,30.3054,-97.7497,"Dishwasher,Parking,Pool"
466,41.2562,-96.0404,
467,40.1145,-88.2723,"Dishwasher,Parking,Patio/Deck"
468,40.1171,-88.1889,"Cable or Satellite,Internet Access,Parking,Refrigerator"
469,37.8726,-122.2707,
470,41.889,-87.6336,
471,38.9118,-77.0132,"Parking,Patio/Deck"
472,40.4969,-86.9659,"Parking,Refrigerator"
473,41.8625,-87.6825,
474,61.1723,-149.8414,Patio/Deck
475,37.7599,-122.4379,"Dishwasher,Refrigerator"
476,41.8625,-87.6825,
477,37.7599,-122.4379,"Dishwasher,Refrigerator"
478,40.4448,-79.9725,
479,37.7599,-122.4379,Refrigerator
480,33.6047,-112.2456,"Dishwasher,Parking,Pool"
481,37.7904,-122.2151,
482,45.4102,-122.7084,
483,45.5091,-122.6449,
484,26.1343,-80.233,"Parking,Refrigerator"
485,33.7848,-84.3922,
486,30.4433,-97.6282,
487,30.4433,-97.6282,
488,27.4849,-82.5345,Parking
489,29.7714,-95.4343,
490,30.3054,-97.7497,"Dishwasher,Parking,Pool"
491,32.8212,-96.7853,"Dishwasher,Parking,Refrigerator"
492,37.7599,-122.4379,Refrigerator
493,36.0723,-79.8196,
494,39.0004,-77.1051,
495,45.5091,-122.6449,
496,30.3054,-97.7497,"Dishwasher,Parking,Pool"
497,32.8212,-96.7853,
498,47.9299,-97.0173,
499,38.9348,-77.059,
500,30.3054,-97.7497,
501,29.4624,-98.5253,"Dishwasher,Elevator,Parking,Pool,Refrigerator"
502,33.5178,-112.0848,
503,40.1145,-88.2723,"Dishwasher,Patio/Deck"
504,43.6309,-84.2394,
505,30.3054,-97.7497,
506,30.3054,-97.7497,
507,30.3054,-97.7497,"Dishwasher,Parking,Pool"
508,30.3054,-97.7497,"Dishwasher,Parking,Pool"
509,38.9074,-77.0494,"Parking,Pool"
510,34.1656,-118.3916,
511,33.5178,-112.0848,"Parking,Pool"
512,41.4648,-81.6794,
513,30.3054,-97.7497,"Dishwasher,Parking,Pool"
514,30.3054,-97.7497,
515,39.1984,-96.6052,Refrigerator
516,37.7599,-122.4379,"Dishwasher,Patio/Deck,Refrigerator"
517,41.8625,-87.6825,
518,45.5091,-122.6449,
519,39.7726,-105.0491,"Parking,Storage"
520,41.8625,-87.6825,"Dishwasher,Parking,Patio/Deck"
521,21.3155,-157.8379,
522,38.9348,-77.059,
523,38.9348,-77.059,
524,32.8212,-96.7853,"Parking,Pool"
525,33.9299,-117.8849,
526,47.5988,-122.1507,"Dishwasher,Parking,Pool,Refrigerator"
527,34.0372,-118.2972,
528,42.333,-122.8597,
529,45.5221,-123.1071,
530,40.1145,-88.2723,"Dishwasher,Parking,Patio/Deck"
531,40.8625,-74.0748,Parking
532,45.5091,-122.6449,
533,30.3054,-97.7497,"Dishwasher,Parking,Pool"
534,30.3054,-97.7497,
535,43.0257,-83.701,
536,45.6558,-122.5888,
537,37.7599,-122.4379,Refrigerator
538,30.3054,-97.7497,
539,29.4624,-98.5253,
540,30.3054,-97.7497,"Dishwasher,Parking,Pool"
541,30.3054,-97.7497,
542,34.0372,-118.2972,
543,30.3054,-97.7497,
544,44.9855,-93.3023,
545,35.2016,-80.8124,"Cable or Satellite,Dishwasher,Internet Access,Parking,Refrigerator"
546,30.3054,-97.7497,
547,37.7904,-122.2151,
548,33.852,-118.3759,
549,33.1201,-117.2858,
550,38.9348,-77.059,
551,37.7078,-122.1435,
552,40.7029,-73.8797,Refrigerator
553,28.0076,-82.4792,"Dishwasher,Parking,Patio/Deck,Refrigerator"
554,32.7876,-117.1265,
555,33.9299,-117.8849,
556,33.9299,-117.8849,
557,32.7994,-116.9256,
558,38.8488,-77.3296,
559,41.8625,-87.6825,"Parking,Refrigerator"
560,33.7363,-117.8131,
561,30.3054,-97.7497,
562,47.3907,-122.2626,
563,34.1132,-117.6615,
564,42.1583,-122.6338,
565,38.992,-77.0056,
566,44.9405,-93.1027,
567,42.8719,-71.3599,
568,38.5587,-121.432,
569,43.0724,-89.4003,"Parking,Refrigerator"
570,45.5091,-122.6449,
571,40.7061,-111.9048,
572,30.3054,-97.7497,
573,29.8831,-97.945,
574,30.3054,-97.7497,"Dishwasher,Parking,Pool"
575,40.7061,-111.9048,
576,40.4448,-79.9725,
577,30.3054,-97.7497,
578,45.3672,-122.6496,Parking
579,32.7407,-97.3394,
580,44.8956,-122.5661,
581,33.5823,-84.5451,
582,35.471,-97.5299,
583,61.1723,-149.8414,Dishwasher
584,42.7242,-84.477,"Dishwasher,Parking,Refrigerator"
585,42.877,-73.1898,
586,42.9497,-85.6417,Refrigerator
587,40.3613,-86.9005,"Dishwasher,Patio/Deck,Refrigerator"
588,32.8212,-96.7853,
589,47.9179,-97.0658,
590,40.1145,-88.2723,
591,42.5286,-92.4509,Parking
592,41.4121,-81.5566,Refrigerator
593,36.7437,-108.1896,Refrigerator
594,40.3613,-86.9005,"Parking,Refrigerator"
595,38.0604,-84.4531,"Dishwasher,Refrigerator"
596,43.4248,-98.4049,"Parking,Refrigerator"
597,48.2469,-101.3017,
598,30.6732,-88.1443,
599,30.3054,-97.7497,"Dishwasher,Parking,Pool"
600,39.8163,-98.5576,
601,34.0372,-118.2972,
602,32.8524,-97.0886,
603,38.7701,-77.2263,
604,33.1993,-97.1268,
605,34.8583,-82.3915,
606,32.8524,-97.0886,
607,29.7714,-95.4343,"Patio/Deck,Pool"
608,29.7714,-95.4343,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator"
609,47.616,-122.3275,
610,30.3054,-97.7497,
611,30.3054,-97.7497,"Patio/Deck,Pool"
612,29.4624,-98.5253,Dishwasher
613,29.7714,-95.4343,
614,37.7262,-89.2229,
615,30.3054,-97.7497,"Dishwasher,Parking,Pool"
616,30.3054,-97.7497,
617,37.7599,-122.4379,Refrigerator
618,45.5091,-122.6449,
619,30.3054,-97.7497,
620,45.5091,-122.6449,
621,30.3054,-97.7497,
622,32.8212,-96.7853,"Dishwasher,Parking,Refrigerator"
623,47.616,-122.3275,
624,47.7544,-122.1932,"Parking,Storage"
625,40.8062,-96.6778,
626,41.3498,-72.1062,"Gym,Parking,Pool,Storage"
627,32.275,-95.3017,"Patio/Deck,Pool"
628,29.7714,-95.4343,
629,32.275,-95.3017,"Patio/Deck,Pool"
630,40.1145,-88.2723,
631,44.9855,-93.3023,
632,48.7871,-122.4437,
633,30.4415,-91.1012,
634,30.3054,-97.7497,
635,40.4448,-79.9725,"Parking,Refrigerator"
636,38.9118,-77.0132,
637,35.2703,-120.6813,
638,30.3054,-97.7497,
639,41.8625,-87.6825,
640,32.7876,-117.1265,
641,40.8876,-74.0499,Parking
642,41.8625,-87.6825,
643,41.8625,-87.6825,
644,39.1471,-86.5136,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator"
645,39.9608,-104.8195,
646,41.2562,-96.0404,
647,37.1892,-93.2908,
648,30.3054,-97.7497,"Dishwasher,Parking,Pool"
649,30.3054,-97.7497,
650,30.3315,-97.6645,"Dishwasher,Parking,Pool"
651,39.5463,-104.8968,
652,41.8625,-87.6825,Parking
653,29.4624,-98.5253,Dishwasher
654,30.3054,-97.7497,
655,30.3054,-97.7497,
656,30.3054,-97.7497,"Dishwasher,Parking,Pool"
657,30.3054,-97.7497,"Dishwasher,Parking,Pool"
658,29.4624,-98.5253,
659,29.7714,-95.4343,"Dishwasher,Garbage Disposal,Parking,Refrigerator"
660,21.3155,-157.8379,
661,38.9348,-77.059,
662,33.8,-117.8367,Refrigerator
663,44.9405,-93.1027,
664,30.5118,-97.6873,"Dishwasher,Parking,Pool"
665,38.8562,-104.772,
666,30.3054,-97.7497,
667,30.3054,-97.7497,"Dishwasher,Parking,Pool"
668,30.3054,-97.7497,
669,47.0012,-120.5424,
670,41.5927,-93.6276,
671,47.6794,-117.4018,
672,30.3054,-97.7497,
673,30.3054,-97.7497,
674,42.1666,-70.9511,
675,40.3325,-75.1166,
676,29.4624,-98.5253,Dishwasher
677,40.1171,-88.1889,"Dishwasher,Parking,Patio/Deck"
678,30.3054,-97.7497,
679,32.7876,-117.1265,
680,39.6041,-104.8594,
681,33.8056,-118.1696,
682,30.3054,-97.7497,"Dishwasher,Parking,Pool"
683,30.3054,-97.7497,
684,41.8625,-87.6825,"Dishwasher,Parking,Refrigerator"
685,34.0521,-117.6328,
686,32.9631,-96.7212,
687,33.7848,-84.3922,
688,29.4624,-98.5253,
689,38.9259,-94.6916,
690,45.5091,-122.6449,
691,37.6836,-97.3369,
692,30.0066,-97.8071,Dishwasher
693,30.5118,-97.6873,
694,30.3054,-97.7497,
695,30.3054,-97.7497,
696,41.2562,-96.0404,
697,38.6274,-90.304,"Dishwasher,Parking,Patio/Deck,Refrigerator"
698,32.9954,-96.7849,"Gym,Parking,Pool"
699,41.2562,-96.0404,
700,36.116,-95.9281,
701,42.328,-71.071,"Parking,Pool"
702,30.3054,-97.7497,"Dishwasher,Parking,Pool"
703,30.3054,-97.7497,"Dishwasher,Elevator,Internet Access,Parking,Pool,Refrigerator"
704,29.4624,-98.5253,
705,29.4624,-98.5253,"Dishwasher,Parking,Pool,Refrigerator"
706,29.4624,-98.5253,Dishwasher
707,30.4433,-97.6282,
708,46.8608,-96.8096,
709,32.3252,-95.2948,"Parking,Pool"
710,37.7599,-122.4379,"Dishwasher,Refrigerator"
711,30.3054,-97.7497,
712,30.3054,-97.7497,"Dishwasher,Parking,Pool"
713,30.3054,-97.7497,
714,29.7714,-95.4343,"Parking,Pool"
715,34.1594,-118.2498,
716,47.616,-122.3275,
717,39.0017,-77.0353,
718,35.1825,-111.6031,"Cable or Satellite,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Refrigerator"
719,30.3054,-97.7497,
720,34.1132,-117.6615,
721,29.4624,-98.5253,"Gym,Pool"
722,41.4029,-73.4637,
723,29.4624,-98.5253,
724,30.3054,-97.7497,
725,46.8013,-100.7562,
726,30.3054,-97.7497,"Dishwasher,Parking,Pool"
727,43.4251,-83.9731,"Dishwasher,Garbage Disposal,Refrigerator"
728,44.0346,-92.468,
729,30.3054,-97.7497,
730,45.4305,-122.7798,Parking
731,29.4624,-98.5253,
732,30.3054,-97.7497,
733,30.3054,-97.7497,"Gym,Parking,Pool,Storage"
734,39.6169,-104.919,
735,35.1038,-106.611,
736,35.1038,-106.611,
737,47.616,-122.3275,
738,38.9571,-95.2657,
739,44.9855,-93.3023,
740,32.829,-96.8458,"Gym,Pool"
741,33.7416,-84.2614,
742,37.7599,-122.4379,
743,39.736,-104.9819,
744,45.5091,-122.6449,
745,40.1171,-88.1889,"Dishwasher,Parking,Patio/Deck"
746,29.7714,-95.4343,"Patio/Deck,Pool"
747,32.7876,-117.1265,
748,34.1383,-117.9635,
749,44.9855,-93.3023,"Dishwasher,Parking,Patio/Deck"
750,28.5163,-81.3644,"Parking,Refrigerator"
751,30.3054,-97.7497,"Gym,Parking,Pool"
752,30.5118,-97.6873,"Dishwasher,Parking,Pool"
753,46.599,-120.5572,
754,40.1145,-88.2723,
755,42.5589,-89.0873,Patio/Deck
756,40.4969,-86.9659,"Parking,Refrigerator"
757,37.7599,-122.4379,"Dishwasher,Refrigerator"
758,44.5099,-88.0178,Dishwasher
759,33.852,-118.3759,
760,30.3054,-97.7497,"Gym,Parking,Pool,Storage"
