s.no,bedrooms,bathrooms,area(sq.ft),pets_allowed
570,1,1,500,"Cats,Dogs"
571,1,1,500,None
572,2,1,500,None
573,1,1,500,Cats
574,1,1,500,None
575,1,1,500,"Cats,Dogs"
576,1,1,500,None
577,2,1,500,None
578,1,1,500,Cats
579,1,1,500,Cats
580,1,1,500,"Cats,Dogs"
581,1,1,500,"Cats,Dogs"
582,1,1,500,"Cats,Dogs"
583,1,1,500,"Cats,Dogs"
584,1,1,500,None
585,1,1,500,Cats
586,1,1,500,None
587,1,1,500,None
588,1,1,500,Cats
589,1,1,500,None
590,2,1,500,None
591,1,1,500,"Cats,Dogs"
592,1,1,500,
593,1,1,500,
594,2,1,500,None
595,0,1,500,
596,1,1,500,None
597,1,1,500,None
598,1,1,500,
599,1,1,501,None
600,2,1,502,"Cats,Dogs"
601,2,1,503,"Cats,Dogs"
602,3,2,504,
603,1,1,504,"Cats,Dogs"
604,2,1,504,"Cats,Dogs"
605,2,1,504,"Cats,Dogs"
606,1,1,504,
607,1,1,504,"Cats,Dogs"
608,1,1,504,"Cats,Dogs"
609,2,1,505,None
610,2,1,505,None
611,1,1,505,None
612,0,1,505,None
613,1,1,505,Cats
614,1,1,505,None
615,1,1,506,None
616,3,1,507,"Cats,Dogs"
617,1,1,508,"Cats,Dogs"
618,1,1,508,"Cats,Dogs"
619,1,1,508,None
620,1,1,508,"Cats,Dogs"
621,2,1,508,None
622,2,1,508,"Cats,Dogs"
623,1,1,510,"Cats,Dogs"
624,1,1,510,
625,1,1,510,None
626,1,1,510,
627,1,1,510,"Cats,Dogs"
628,1,1,510,Cats
629,1,1,510,"Cats,Dogs"
630,1,1,511,None
631,1,1,512,"Cats,Dogs"
632,2,1,512,"Cats,Dogs"
633,1,1,512,Cats
634,1,1,512,"Cats,Dogs"
635,1,1,512,None
636,1,1,513,"Cats,Dogs"
637,1,1,513,"Cats,Dogs"
638,2,1,513,None
639,2,1,514,None
640,0,1,514,None
641,1,1,514,
642,2,1,515,None
643,1,1,515,"Cats,Dogs"
644,2,1,515,"Cats,Dogs"
645,2,1,515,"Cats,Dogs"
646,1,1,515,None
647,4,1,515,Cats
648,3,1,516,None
649,3,1,516,"Cats,Dogs"
650,1,1,516,None
651,3,1,517,Cats
652,1,1,517,"Cats,Dogs"
653,1,1,517,None
654,2,1,518,None
655,2,1,518,"Cats,Dogs"
656,1,1,518,None
657,1,1,518,None
658,1,1,518,"Cats,Dogs"
659,1,1,519,None
660,1,1,520,None
661,0,1,520,"Cats,Dogs"
662,1,1,520,None
663,2,1,520,None
664,1,1,520,None
665,1,1,520,"Cats,Dogs"
666,4,1,520,None
667,1,1,520,None
668,1,1,520,None
669,1,1,520,None
670,1,1,520,None
671,1,1,520,"Cats,Dogs"
672,2,1,522,None
673,2,1,522,"Cats,Dogs"
674,2,1,522,
675,1,1,522,"Cats,Dogs"
676,1,1,522,None
677,2,1,523,None
678,2,1,524,None
679,2,1,525,"Cats,Dogs"
680,1,1,525,"Cats,Dogs"
681,0,1,525,None
682,1,1,525,None
683,1,1,525,None
684,1,1,525,Cats
685,1,1,525,None
686,1,1,525,"Cats,Dogs"
687,1,1,525,"Cats,Dogs"
688,1,1,525,"Cats,Dogs"
689,1,1,525,"Cats,Dogs"
690,1,1,525,"Cats,Dogs"
691,1,1,525,"Cats,Dogs"
692,3,1,525,None
693,3,1,525,None
694,1,1,525,"Cats,Dogs"
695,1,1,525,None
696,1,1,525,"Cats,Dogs"
697,1,1,525,"Cats,Dogs"
698,1,1,525,
699,1,1,525,"Cats,Dogs"
700,1,1,525,"Cats,Dogs"
701,1,1,526,"Cats,Dogs"
702,1,1,526,None
703,1,1,527,None
704,3,1,527,"Cats,Dogs"
705,1,1,528,"Cats,Dogs"
706,1,1,528,None
707,1,1,528,None
708,3,1,528,"Cats,Dogs"
709,1,1,528,
710,1,1,529,"Cats,Dogs"
711,2,1,529,None
712,1,1,529,None
713,2,1,529,None
714,0,1,529,None
715,1,1,530,Cats
716,1,1,530,"Cats,Dogs"
717,0,1,530,"Cats,Dogs"
718,1,1,530,"Cats,Dogs"
719,1,1,530,None
720,1,1,530,None
721,1,1,530,None
722,2,1,530,"Cats,Dogs"
723,1,1,530,None
724,2,1,531,None
725,3,1,531,"Cats,Dogs"
726,1,1,532,None
727,1,1,532,
728,2,1,533,None
729,1,1,533,None
730,2,1,534,"Cats,Dogs"
731,1,1,534,"Cats,Dogs"
732,2,1,535,None
733,2,1,535,None
734,2,1,535,"Cats,Dogs"
735,1,1,535,None
736,1,1,535,"Cats,Dogs"
737,1,1,536,Cats
738,2,1,536,"Cats,Dogs"
739,1,1,537,"Cats,Dogs"
740,2,1,537,
741,1,1,537,"Cats,Dogs"
742,1,1,538,"Cats,Dogs"
743,1,1,538,"Cats,Dogs"
744,1,1,538,"Cats,Dogs"
745,2,1,538,None
746,1,1,539,"Cats,Dogs"
747,1,1,540,"Cats,Dogs"
748,2,1,540,None
749,2,1,540,"Cats,Dogs"
750,1,1,540,"Cats,Dogs"
751,1,1,540,None
752,1,1,540,None
753,1,1,540,None
754,1,1,540,None
755,1,1,540,"Cats,Dogs"
756,1,1,540,None
757,1,1,541,"Cats,Dogs"
758,1,1,541,None
759,1,1,542,Cats
760,1,1,542,None
761,2,1,542,"Cats,Dogs"
762,1,1,542,"Cats,Dogs"
763,1,1,542,"Cats,Dogs"
764,1,1,544,"Cats,Dogs"
765,1,1,544,"Cats,Dogs"
766,1,1,545,"Cats,Dogs"
767,1,1,545,"Cats,Dogs"
768,1,1,545,"Cats,Dogs"
769,1,1,545,"Cats,Dogs"
770,2,1,546,
771,2,1,546,"Cats,Dogs"
772,1,1,546,"Cats,Dogs"
773,2,1,546,None
774,2,1,546,None
775,1,1,546,None
776,2,,547,"Cats,Dogs"
777,1,1,547,"Cats,Dogs"
778,2,1,547,None
779,1,1,547,None
780,1,1,547,None
781,1,1,547,"Cats,Dogs"
782,3,1,548,None
783,1,1,548,"Cats,Dogs"
784,1,1,548,Cats
785,1,1,549,"Cats,Dogs"
786,1,1,549,None
787,2,1,549,None
788,1,1,549,None
789,1,1,550,Cats
790,1,1,550,"Cats,Dogs"
791,1,1,550,Cats
792,0,1,550,"Cats,Dogs"
793,1,1,550,"Cats,Dogs"
794,1,1,550,"Cats,Dogs"
795,1,1,550,None
796,1,1,550,None
797,2,1,550,None
798,,1,550,None
799,1,1,550,None
800,1,1,550,"Cats,Dogs"
801,1,1,550,None
802,1,1,550,"Cats,Dogs"
803,1,1,550,"Cats,Dogs"
804,1,1,550,"Cats,Dogs"
805,1,1,550,Cats
806,1,1,550,Cats
807,1,1,550,None
808,1,1,550,"Cats,Dogs"
809,0,1,550,None
810,1,1,550,Cats
811,1,1,550,None
812,1,1,550,"Cats,Dogs"
813,1,1,550,Dogs
814,1,1,550,"Cats,Dogs"
815,1,1,550,None
816,0,1,550,None
817,1,1,550,"Cats,Dogs"
818,2,1,550,"Cats,Dogs"
819,1,1,550,None
820,2,1,550,"Cats,Dogs"
821,1,1,550,
822,1,,550,"Cats,Dogs"
823,1,1,550,
824,2,1,550,"Cats,Dogs"
825,1,1,550,"Cats,Dogs"
826,1,1,550,None
827,1,1,550,"Cats,Dogs"
828,1,1,550,"Cats,Dogs"
829,1,1,550,"Cats,Dogs"
830,1,1,550,"Cats,Dogs"
831,1,1,550,None
832,2,1,551,"Cats,Dogs"
833,1,,551,"Cats,Dogs"
834,3,1,551,"Cats,Dogs"
835,1,1,552,"Cats,Dogs"
836,1,1,552,"Cats,Dogs"
837,2,1,552,"Cats,Dogs"
838,2,1,554,Cats
839,3,1,554,"Cats,Dogs"
840,1,1,554,None
841,1,1,555,None
842,1,1,556,"Cats,Dogs"
843,1,1,556,None
844,1,1,557,None
845,1,1,557,None
846,2,1,558,None
847,1,1,558,None
848,1,1,559,"Cats,Dogs"
849,1,1,559,"Cats,Dogs"
850,1,1,559,
851,1,1,560,None
852,1,1,560,"Cats,Dogs"
853,2,1,560,None
854,1,1,560,
855,1,1,560,None
856,1,1,560,"Cats,Dogs"
857,1,1,560,None
858,1,1,560,None
859,1,1,560,"Cats,Dogs"
860,1,1,560,None
861,1,1,560,"Cats,Dogs"
862,1,1,560,None
863,1,1,560,None
864,2,1,560,Cats
865,1,1,560,"Cats,Dogs"
866,1,1,561,"Cats,Dogs"
867,2,1,561,"Cats,Dogs"
868,1,1,562,"Cats,Dogs"
869,1,1,562,"Cats,Dogs"
870,1,1,562,None
871,1,1,562,"Cats,Dogs"
872,1,1,562,"Cats,Dogs"
873,1,1,562,"Cats,Dogs"
874,1,1,563,None
875,1,1,563,None
876,1,1,564,None
877,3,1,564,"Cats,Dogs"
878,1,1,565,None
879,2,1,565,None
880,1,1,565,
881,1,1,565,None
882,1,1,565,None
883,3,1,565,"Cats,Dogs"
884,2,1,565,None
885,2,1,566,"Cats,Dogs"
886,1,1,566,Cats
887,1,1,566,"Cats,Dogs"
888,2,1,568,"Cats,Dogs"
889,1,1,568,None
890,1,1,568,None
891,1,1,568,"Cats,Dogs"
892,1,1,569,"Cats,Dogs"
893,1,1,569,"Cats,Dogs"
894,2,1,569,None
895,1,1,570,"Cats,Dogs"
896,3,1,570,"Cats,Dogs"
897,1,1,570,None
898,3,1,570,"Cats,Dogs"
899,1,1,570,None
900,1,1,570,None
901,1,1,570,None
902,1,1,570,None
903,1,1,570,"Cats,Dogs"
904,1,1,570,"Cats,Dogs"
905,1,1,570,Cats
906,1,1,570,None
907,1,1,571,None
908,1,1,571,None
909,1,1,571,None
910,1,1,572,None
911,1,1,572,"Cats,Dogs"
912,2,1,573,None
913,1,1,573,"Cats,Dogs"
914,2,1,574,None
915,1,1,574,None
916,2,1,575,"Cats,Dogs"
917,1,1,575,"Cats,Dogs"
918,1,1,575,
919,1,1,575,None
920,1,1,575,None
921,1,1,575,"Cats,Dogs"
922,1,1,575,
923,1,1,575,None
924,1,1,576,"Cats,Dogs"
925,1,1,576,"Cats,Dogs"
926,1,1,576,None
927,1,1,576,Cats
928,1,1,576,None
929,1,1,576,"Cats,Dogs"
930,1,1,576,None
931,2,1,576,Cats
932,1,1,576,Cats
933,1,1,576,None
934,1,1,577,"Cats,Dogs"
935,2,1,577,"Cats,Dogs"
936,1,1,577,"Cats,Dogs"
937,1,1,577,"Cats,Dogs"
938,1,1,578,"Cats,Dogs"
939,1,1,578,"Cats,Dogs"
940,1,1,578,"Cats,Dogs"
941,2,1,579,Cats
942,1,1,579,"Cats,Dogs"
943,1,1,579,None
944,1,1,579,None
945,1,1,579,"Cats,Dogs"
946,2,1,580,"Cats,Dogs"
947,1,1,580,"Cats,Dogs"
948,1,1,580,"Cats,Dogs"
949,1,1,580,"Cats,Dogs"
950,1,1,580,"Cats,Dogs"
951,2,1,580,"Cats,Dogs"
952,1,1,580,"Cats,Dogs"
953,1,1,580,
954,1,1,580,"Cats,Dogs"
955,1,1,580,"Cats,Dogs"
956,0,1,580,"Cats,Dogs"
957,1,1,580,"Cats,Dogs"
958,1,1,580,"Cats,Dogs"
959,1,1,581,"Cats,Dogs"
960,1,1,581,"Cats,Dogs"
961,1,1,581,"Cats,Dogs"
962,2,1,582,Cats
963,2,1,582,
964,1,1,582,"Cats,Dogs"
965,2,1,583,Cats
966,1,1,583,
967,1,1,583,Cats
968,1,1,584,None
969,1,1,585,
970,0,1,585,"Cats,Dogs"
971,3,1,585,Cats
972,1,1,585,Cats
973,1,1,585,"Cats,Dogs"
974,1,1,585,"Cats,Dogs"
975,1,1,585,None
976,1,1,585,"Cats,Dogs"
977,1,1,586,"Cats,Dogs"
978,1,1,586,None
979,1,1,586,None
980,1,1,586,"Cats,Dogs"
981,1,1,586,None
982,1,1,586,None
983,1,1,587,"Cats,Dogs"
984,1,1,587,None
985,1,1,588,"Cats,Dogs"
986,1,1,588,None
987,1,1,588,Cats
988,1,1,589,"Cats,Dogs"
989,1,1,589,"Cats,Dogs"
990,1,1,589,
991,1,1,590,None
992,1,1,590,"Cats,Dogs"
993,1,1,590,"Cats,Dogs"
994,1,1,591,"Cats,Dogs"
995,1,1,591,None
996,1,1,591,"Cats,Dogs"
997,1,1,592,"Cats,Dogs"
998,1,1,592,"Cats,Dogs"
999,1,1,592,None
1000,0,1,593,"Cats,Dogs"
1001,1,1,593,None
1002,1,1,593,
1003,1,1,593,"Cats,Dogs"
1004,1,1,593,"Cats,Dogs"
1005,1,1,594,None
1006,1,1,594,None
1007,1,1,594,"Cats,Dogs"
1008,1,1,595,None
1009,1,1,595,None
1010,2,1,595,Cats
1011,1,1,595,"Cats,Dogs"
1012,2,1,595,None
1013,1,1,595,"Cats,Dogs"
1014,1,1,596,Cats
1015,1,1,597,None
1016,1,1,597,"Cats,Dogs"
1017,1,1,597,None
1018,3,1,597,None
1019,1,1,597,None
1020,1,1,598,None
